id	text	overall_sentiment	related_companies	related_companies_sentiment	category	datetime	image	security	source	summary	url
128669613	How Apple Is Capitalizing On Its Balance Sheet To Drive AI Growth	Positive	['Apple']	['Positive']	Technological	1720784620	https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1188478549/image_1188478549.jpg?io=getty-c-w1536	AAPL	SeekingAlpha	"Apple presents a compelling investment thesis with a strong brand, financial health, and promising AI platform. Read why AAPL stock is a hold."	https://finnhub.io/api/news?id=a0c65942cf27708f91d0d378c56ae9607eddef482d760817560d539c331ca603
128668428	Exclusive-India antitrust probe finds Apple abused position in apps market	Negative	['Apple']	['Negative']	Political	1720784550	https://media.zenfs.com/en/reuters-finance.com/401c3827ffd0e1e2df95949dacdda5f4	AAPL	Yahoo	"An investigation by India's antitrust body has found that Apple exploited its dominant position in the market for app stores on its iOS operating system, engaging ""in abusive conduct and practices"", a confidential report seen by Reuters showed.  The Competition Commission of India (CCI) has been investigating Apple Inc since 2021 for possibly abusing its dominant position in the apps market by forcing developers to use its proprietary in-app purchase system.  Apple has denied wrongdoing saying it was a small player in India where phones that use Google's Android system are dominant."	https://finnhub.io/api/news?id=aad6e71f007735f2318298abd99bb1508f946e9f915d056bdc604badb6c4002b
128668429	Is Apple Stock Going to $260? 1 Wall Street Analyst Thinks So	Neutral	['Apple']	['Positive']	Economical	1720783320	https://g.foolcdn.com/editorial/images/783138/gettyimages-1329074778.jpg	AAPL	Yahoo	An upgrade cycle driven by AI applications is creating optimism around the stock.	https://finnhub.io/api/news?id=fb5a311d31f0290628c1be3bfc4f2b12daab057c3ed348e53f33e0880d22778b
128668430	Foxconn factories in China on hiring spree ahead of Apple's AI-compatible iPhone 16 launch	Positive	"['Foxconn', 'Apple']"	"['Positive', 'Positive']"	Technological	1720776600	https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png	AAPL	Yahoo	"Contract electronics manufacturer Foxconn is ramping up hiring in the world's biggest iPhone plant in Zhengzhou, capital of central Henan province, as Apple gears up for the launch of its next-generation handset this autumn. The iPhone assembler, also known as Hon Hai Precision Industry, is offering a 25 yuan (US$3.44) hourly rate and a bonus of up to 7,500 yuan for returning workers previously employed by the Zhengzhou factory, according to recruitment posts published by the company this week."	https://finnhub.io/api/news?id=5e45d9012f4a1f2c5cb21d3d9562e52c50735b1685d818a088012f864880e58b
128668815	Nvidia: I'm Late To The Party But I'm Buying	Neutral	['Nvidia']	['Positive']	Economical	1720774800	https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1412721464/image_1412721464.jpg?io=getty-c-w1536	AAPL	SeekingAlpha	"Nvidia stock has seen a remarkable increase of over 3,000% in the past 5 years. See why I rate NVDA as a strong buy."	https://finnhub.io/api/news?id=6feac6914bdc6952b3938d2fea5abc6e1323be41faf26117fae3f85a7b201d83
128668431	"1 Stock-Split ETF That Could Turn $500 Per Month Into $1 Million, With Nvidia's Help"	Neutral	['Nvidia']	['Positive']	Economical	1720774740	https://g.foolcdn.com/editorial/images/783002/a-digitally-rendered-3d-bull-standing-on-a-computer-chip-ready-to-charge.jpg	AAPL	Yahoo	Exchange-traded funds can eliminate the need for investors to pick winners and losers in fast-moving industries like artificial intelligence (AI).	https://finnhub.io/api/news?id=41a89af1c72b56dcf4e44350fba9161a06548c84f199034651509355128d938b
128668432	"Trending tickers: Tesla, Nvidia, Pfizer and Superdry"	Neutral	"['Tesla', 'Nvidia', 'Pfizer', 'Superdry']"	"['Neutral', 'Neutral', 'Neutral', 'Neutral']"	Economical	1720772221	https://media.zenfs.com/en/video.reutersnews.com/1e11fb140fe0770fdbe0868884625061	AAPL	Yahoo	The latest investor updates on stocks that are trending on Friday	https://finnhub.io/api/news?id=b855ca5425efdaf1a8bc61ed09ef8540733d70647f10abc6522f252ca90e201c
128668222	India Antitrust Body Finds Apple Engaged In Abusive Pr…	Neutral	['Apple']	['Negative']	Political	1720769760		AAPL	Finnhub	"EXCLUSIVE-INDIA ANTITRUST BODY FINDS APPLE ENGAGED IN ABUSIVE PRACTICES IN APPS MARKET, DOCUMENT SHOWS ..."	https://finnhub.io/api/news?id=4f7ceb8a72f7274d5abcc7037b2999d3d7aafea764c1c7dbedb718812c282dae
128668221	India antitrust probe finds Apple abused position in apps market	Negative	['Apple']	['Negative']	Political	1720769760		AAPL	Finnhub	"An investigation byIndia's antitrust body has found that Apple exploited itsdominant position in the market for app stores on its iOSoperating system, engaging in abusive conduct and practices,..."	https://finnhub.io/api/news?id=b0b0ec6776ac3a156ee222e3efc4b8bb5ed086db37f35b76ec00928e62d2fcb2
128666899	46% of Warren Buffett's $410 Billion Portfolio Is Invested in 4 Artificial Intelligence (AI) Stocks	Neutral	['Apple']	['Positive']	Economical	1720769640	https://g.foolcdn.com/editorial/images/783115/buffett17-tmf.jpg	AAPL	Yahoo	"The ""Oracle of Omaha"" has nearly $189 billion of Berkshire Hathaway's invested assets riding on four top-notch artificial intelligence (AI) stocks."	https://finnhub.io/api/news?id=c40577491744e17fbb365bab458ba0b8265d7eaaaeba681258786493e44d16eb
